date,personal_income
1969-01-01,4698
1970-01-01,4945
1971-01-01,5241
1972-01-01,5660
1973-01-01,6243
1974-01-01,6842
1975-01-01,7315
1976-01-01,8009
1977-01-01,8825
1978-01-01,9757
1979-01-01,10714
1980-01-01,11694
1981-01-01,12892
1982-01-01,13613
1983-01-01,14299
1984-01-01,15628
1985-01-01,16469
1986-01-01,17415
1987-01-01,18525
1988-01-01,20160
1989-01-01,21289
1990-01-01,22627
1991-01-01,22900
1992-01-01,24384
1993-01-01,25059
1994-01-01,26118
1995-01-01,27662
1996-01-01,29096
1997-01-01,30614
1998-01-01,32414
1999-01-01,33723
2000-01-01,36130
2001-01-01,37036
2002-01-01,37262
2003-01-01,37798
2004-01-01,39129
2005-01-01,40991
2006-01-01,43706
2007-01-01,46104
2008-01-01,46679
2009-01-01,43539
2010-01-01,44488
2011-01-01,46390
2012-01-01,48804
2013-01-01,49647
2014-01-01,52501
2015-01-01,55170
2016-01-01,55800
2017-01-01,57586
2018-01-01,60938
2019-01-01,63024
2020-01-01,66474
2021-01-01,71992
2022-01-01,78020
2023-01-01,81332